,Middle Layer Super Output Areas Code,age,Count
536,W02000056,60-70,715
537,W02000056,70-80,593
538,W02000056,80-90,199
539,W02000056,90-100,29
540,W02000057,0-10,606
541,W02000057,10-20,553
542,W02000057,20-30,548
543,W02000057,30-40,597
544,W02000057,40-50,726
545,W02000057,50-60,1022
546,W02000057,60-70,897
547,W02000057,70-80,848
548,W02000057,80-90,347
549,W02000057,90-100,88
550,W02000058,0-10,498
551,W02000058,10-20,483
552,W02000058,20-30,484
553,W02000058,30-40,472
554,W02000058,40-50,525
555,W02000058,50-60,971
556,W02000058,60-70,786
557,W02000058,70-80,623
558,W02000058,80-90,233
559,W02000058,90-100,46
560,W02000059,0-10,794
561,W02000059,10-20,751
562,W02000059,20-30,646
563,W02000059,30-40,672
564,W02000059,40-50,816
565,W02000059,50-60,1041
566,W02000059,60-70,928
567,W02000059,70-80,629
568,W02000059,80-90,259
569,W02000059,90-100,38
570,W02000060,0-10,1416
571,W02000060,10-20,1260
572,W02000060,20-30,1307
573,W02000060,30-40,1358
574,W02000060,40-50,1276
575,W02000060,50-60,1610
576,W02000060,60-70,1177
577,W02000060,70-80,897
578,W02000060,80-90,379
579,W02000060,90-100,72
580,W02000061,0-10,1068
581,W02000061,10-20,868
582,W02000061,20-30,1121
583,W02000061,30-40,1183
584,W02000061,40-50,854
585,W02000061,50-60,917
586,W02000061,60-70,787
587,W02000061,70-80,528
588,W02000061,80-90,233
589,W02000061,90-100,70
590,W02000062,0-10,653
591,W02000062,10-20,664
592,W02000062,20-30,670
593,W02000062,30-40,723
594,W02000062,40-50,789
595,W02000062,50-60,949
596,W02000062,60-70,768
597,W02000062,70-80,621
598,W02000062,80-90,220
599,W02000062,90-100,50
600,W02000063,0-10,691
601,W02000063,10-20,793
602,W02000063,20-30,678
603,W02000063,30-40,713
604,W02000063,40-50,978
605,W02000063,50-60,1434
606,W02000063,60-70,1326
607,W02000063,70-80,1037
608,W02000063,80-90,427
609,W02000063,90-100,47
610,W02000064,0-10,773
611,W02000064,10-20,757
612,W02000064,20-30,828
613,W02000064,30-40,855
614,W02000064,40-50,772
615,W02000064,50-60,808
616,W02000064,60-70,618
617,W02000064,70-80,488
618,W02000064,80-90,189
619,W02000064,90-100,35
620,W02000065,0-10,885
621,W02000065,10-20,783
622,W02000065,20-30,913
623,W02000065,30-40,971
624,W02000065,40-50,958
625,W02000065,50-60,1010
626,W02000065,60-70,810
627,W02000065,70-80,646
628,W02000065,80-90,248
629,W02000065,90-100,48
630,W02000066,0-10,1322
631,W02000066,10-20,1103
632,W02000066,20-30,1223
633,W02000066,30-40,1511
634,W02000066,40-50,1245
635,W02000066,50-60,1317
636,W02000066,60-70,1036
637,W02000066,70-80,647
638,W02000066,80-90,361
639,W02000066,90-100,75
640,W02000067,0-10,821
641,W02000067,10-20,798
642,W02000067,20-30,712
643,W02000067,30-40,785
644,W02000067,40-50,871
645,W02000067,50-60,1040
646,W02000067,60-70,739
647,W02000067,70-80,719
648,W02000067,80-90,297
649,W02000067,90-100,44
650,W02000068,0-10,565
651,W02000068,10-20,459
652,W02000068,20-30,585
653,W02000068,30-40,698
654,W02000068,40-50,669
655,W02000068,50-60,854
656,W02000068,60-70,623
657,W02000068,70-80,517
658,W02000068,80-90,190
659,W02000068,90-100,36
660,W02000069,0-10,678
661,W02000069,10-20,655
662,W02000069,20-30,602
663,W02000069,30-40,657
664,W02000069,40-50,828
665,W02000069,50-60,1029
666,W02000069,60-70,750
667,W02000069,70-80,745
668,W02000069,80-90,269
669,W02000069,90-100,42
670,W02000070,0-10,1146
671,W02000070,10-20,1280
672,W02000070,20-30,930
673,W02000070,30-40,1181
674,W02000070,40-50,1477
675,W02000070,50-60,1652
676,W02000070,60-70,1330
677,W02000070,70-80,1122
678,W02000070,80-90,442
679,W02000070,90-100,58
680,W02000071,0-10,692
681,W02000071,10-20,700
682,W02000071,20-30,688
683,W02000071,30-40,712
684,W02000071,40-50,934
685,W02000071,50-60,973
686,W02000071,60-70,951
687,W02000071,70-80,992
688,W02000071,80-90,352
689,W02000071,90-100,48
690,W02000072,0-10,1519
691,W02000072,10-20,1225
692,W02000072,20-30,1580
693,W02000072,30-40,1809
694,W02000072,40-50,1468
695,W02000072,50-60,1594
696,W02000072,60-70,1178
697,W02000072,70-80,913
698,W02000072,80-90,338
699,W02000072,90-100,46
700,W02000073,0-10,1205
701,W02000073,10-20,1125
702,W02000073,20-30,1158
703,W02000073,30-40,1073
704,W02000073,40-50,1254
705,W02000073,50-60,1437
706,W02000073,60-70,1221
707,W02000073,70-80,1046
708,W02000073,80-90,547
709,W02000073,90-100,85
710,W02000074,0-10,1214
711,W02000074,10-20,1056
712,W02000074,20-30,1120
713,W02000074,30-40,1419
714,W02000074,40-50,1214
715,W02000074,50-60,1446
716,W02000074,60-70,952
717,W02000074,70-80,956
718,W02000074,80-90,396
719,W02000074,90-100,86
720,W02000075,0-10,843
721,W02000075,10-20,683
722,W02000075,20-30,594
723,W02000075,30-40,901
724,W02000075,40-50,872
725,W02000075,50-60,909
726,W02000075,60-70,727
727,W02000075,70-80,662
728,W02000075,80-90,219
729,W02000075,90-100,32
730,W02000076,0-10,736
731,W02000076,10-20,730
732,W02000076,20-30,713
733,W02000076,30-40,681
734,W02000076,40-50,877
735,W02000076,50-60,1290
736,W02000076,60-70,976
737,W02000076,70-80,954
738,W02000076,80-90,311
739,W02000076,90-100,49
740,W02000077,0-10,604
741,W02000077,10-20,740
742,W02000077,20-30,572
743,W02000077,30-40,627
744,W02000077,40-50,790
745,W02000077,50-60,977
746,W02000077,60-70,713
747,W02000077,70-80,677
748,W02000077,80-90,293
749,W02000077,90-100,50
750,W02000080,0-10,1035
751,W02000080,10-20,1002
752,W02000080,20-30,796
753,W02000080,30-40,1095
754,W02000080,40-50,1033
755,W02000080,50-60,1096
756,W02000080,60-70,852
757,W02000080,70-80,710
758,W02000080,80-90,225
759,W02000080,90-100,26
760,W02000081,0-10,871
761,W02000081,10-20,650
762,W02000081,20-30,682
763,W02000081,30-40,766
764,W02000081,40-50,769
765,W02000081,50-60,833
766,W02000081,60-70,666
767,W02000081,70-80,514
768,W02000081,80-90,167
769,W02000081,90-100,33
770,W02000082,0-10,1081
771,W02000082,10-20,897
772,W02000082,20-30,928
773,W02000082,30-40,1125
774,W02000082,40-50,1032
775,W02000082,50-60,1052
776,W02000082,60-70,745
777,W02000082,70-80,575
778,W02000082,80-90,195
779,W02000082,90-100,36
780,W02000083,0-10,1237
781,W02000083,10-20,935
782,W02000083,20-30,1091
783,W02000083,30-40,1260
784,W02000083,40-50,1056
785,W02000083,50-60,1142
786,W02000083,60-70,939
787,W02000083,70-80,680
788,W02000083,80-90,283
789,W02000083,90-100,65
790,W02000085,0-10,845
791,W02000085,10-20,947
792,W02000085,20-30,1016
793,W02000085,30-40,1057
794,W02000085,40-50,1017
795,W02000085,50-60,1277
796,W02000085,60-70,1100
797,W02000085,70-80,1052
798,W02000085,80-90,505
