,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
82459,W02000016,Gwynedd 007,7,"Separated, but still in a registered civil partnership",0
82460,W02000016,Gwynedd 007,8,Divorced,470
82461,W02000016,Gwynedd 007,9,Formerly in a civil partnership now legally dissolved,1
82462,W02000016,Gwynedd 007,10,Widowed,394
82463,W02000016,Gwynedd 007,11,Surviving partner from civil partnership,1
82464,W02000017,Gwynedd 008,-8,Does not apply,1411
82465,W02000017,Gwynedd 008,1,Never married and never registered a civil partnership,2314
82466,W02000017,Gwynedd 008,2,Married: Opposite sex,2687
82467,W02000017,Gwynedd 008,3,Married: Same sex,6
82468,W02000017,Gwynedd 008,4,In a registered civil partnership: Opposite sex,0
82469,W02000017,Gwynedd 008,5,In a registered civil partnership: Same sex,5
82470,W02000017,Gwynedd 008,6,"Separated, but still married",104
82471,W02000017,Gwynedd 008,7,"Separated, but still in a registered civil partnership",0
82472,W02000017,Gwynedd 008,8,Divorced,607
82473,W02000017,Gwynedd 008,9,Formerly in a civil partnership now legally dissolved,0
82474,W02000017,Gwynedd 008,10,Widowed,441
82475,W02000017,Gwynedd 008,11,Surviving partner from civil partnership,1
82476,W02000018,Gwynedd 009,-8,Does not apply,1098
82477,W02000018,Gwynedd 009,1,Never married and never registered a civil partnership,2017
82478,W02000018,Gwynedd 009,2,Married: Opposite sex,1938
82479,W02000018,Gwynedd 009,3,Married: Same sex,6
82480,W02000018,Gwynedd 009,4,In a registered civil partnership: Opposite sex,2
82481,W02000018,Gwynedd 009,5,In a registered civil partnership: Same sex,10
82482,W02000018,Gwynedd 009,6,"Separated, but still married",112
82483,W02000018,Gwynedd 009,7,"Separated, but still in a registered civil partnership",0
82484,W02000018,Gwynedd 009,8,Divorced,540
82485,W02000018,Gwynedd 009,9,Formerly in a civil partnership now legally dissolved,0
82486,W02000018,Gwynedd 009,10,Widowed,355
82487,W02000018,Gwynedd 009,11,Surviving partner from civil partnership,0
82488,W02000019,Gwynedd 010,-8,Does not apply,1026
82489,W02000019,Gwynedd 010,1,Never married and never registered a civil partnership,1920
82490,W02000019,Gwynedd 010,2,Married: Opposite sex,2438
82491,W02000019,Gwynedd 010,3,Married: Same sex,14
82492,W02000019,Gwynedd 010,4,In a registered civil partnership: Opposite sex,10
82493,W02000019,Gwynedd 010,5,In a registered civil partnership: Same sex,10
82494,W02000019,Gwynedd 010,6,"Separated, but still married",121
82495,W02000019,Gwynedd 010,7,"Separated, but still in a registered civil partnership",0
82496,W02000019,Gwynedd 010,8,Divorced,573
82497,W02000019,Gwynedd 010,9,Formerly in a civil partnership now legally dissolved,0
82498,W02000019,Gwynedd 010,10,Widowed,548
82499,W02000019,Gwynedd 010,11,Surviving partner from civil partnership,0
82500,W02000020,Gwynedd 011,-8,Does not apply,1032
82501,W02000020,Gwynedd 011,1,Never married and never registered a civil partnership,1678
82502,W02000020,Gwynedd 011,2,Married: Opposite sex,2674
82503,W02000020,Gwynedd 011,3,Married: Same sex,12
82504,W02000020,Gwynedd 011,4,In a registered civil partnership: Opposite sex,6
82505,W02000020,Gwynedd 011,5,In a registered civil partnership: Same sex,15
82506,W02000020,Gwynedd 011,6,"Separated, but still married",93
82507,W02000020,Gwynedd 011,7,"Separated, but still in a registered civil partnership",0
82508,W02000020,Gwynedd 011,8,Divorced,490
82509,W02000020,Gwynedd 011,9,Formerly in a civil partnership now legally dissolved,1
82510,W02000020,Gwynedd 011,10,Widowed,482
82511,W02000020,Gwynedd 011,11,Surviving partner from civil partnership,0
82512,W02000021,Gwynedd 012,-8,Does not apply,1330
82513,W02000021,Gwynedd 012,1,Never married and never registered a civil partnership,2337
82514,W02000021,Gwynedd 012,2,Married: Opposite sex,2759
82515,W02000021,Gwynedd 012,3,Married: Same sex,13
82516,W02000021,Gwynedd 012,4,In a registered civil partnership: Opposite sex,4
82517,W02000021,Gwynedd 012,5,In a registered civil partnership: Same sex,7
82518,W02000021,Gwynedd 012,6,"Separated, but still married",123
82519,W02000021,Gwynedd 012,7,"Separated, but still in a registered civil partnership",0
82520,W02000021,Gwynedd 012,8,Divorced,644
82521,W02000021,Gwynedd 012,9,Formerly in a civil partnership now legally dissolved,1
82522,W02000021,Gwynedd 012,10,Widowed,536
82523,W02000021,Gwynedd 012,11,Surviving partner from civil partnership,1
82524,W02000022,Gwynedd 013,-8,Does not apply,775
82525,W02000022,Gwynedd 013,1,Never married and never registered a civil partnership,1433
82526,W02000022,Gwynedd 013,2,Married: Opposite sex,2277
82527,W02000022,Gwynedd 013,3,Married: Same sex,19
82528,W02000022,Gwynedd 013,4,In a registered civil partnership: Opposite sex,6
82529,W02000022,Gwynedd 013,5,In a registered civil partnership: Same sex,12
82530,W02000022,Gwynedd 013,6,"Separated, but still married",88
82531,W02000022,Gwynedd 013,7,"Separated, but still in a registered civil partnership",0
82532,W02000022,Gwynedd 013,8,Divorced,500
82533,W02000022,Gwynedd 013,9,Formerly in a civil partnership now legally dissolved,1
82534,W02000022,Gwynedd 013,10,Widowed,437
82535,W02000022,Gwynedd 013,11,Surviving partner from civil partnership,2
82536,W02000023,Gwynedd 014,-8,Does not apply,842
82537,W02000023,Gwynedd 014,1,Never married and never registered a civil partnership,1429
82538,W02000023,Gwynedd 014,2,Married: Opposite sex,2195
82539,W02000023,Gwynedd 014,3,Married: Same sex,7
82540,W02000023,Gwynedd 014,4,In a registered civil partnership: Opposite sex,4
82541,W02000023,Gwynedd 014,5,In a registered civil partnership: Same sex,7
82542,W02000023,Gwynedd 014,6,"Separated, but still married",58
82543,W02000023,Gwynedd 014,7,"Separated, but still in a registered civil partnership",0
82544,W02000023,Gwynedd 014,8,Divorced,349
82545,W02000023,Gwynedd 014,9,Formerly in a civil partnership now legally dissolved,0
82546,W02000023,Gwynedd 014,10,Widowed,391
82547,W02000023,Gwynedd 014,11,Surviving partner from civil partnership,3
82548,W02000024,Gwynedd 015,-8,Does not apply,940
82549,W02000024,Gwynedd 015,1,Never married and never registered a civil partnership,1640
82550,W02000024,Gwynedd 015,2,Married: Opposite sex,2153
82551,W02000024,Gwynedd 015,3,Married: Same sex,15
82552,W02000024,Gwynedd 015,4,In a registered civil partnership: Opposite sex,2
82553,W02000024,Gwynedd 015,5,In a registered civil partnership: Same sex,11
82554,W02000024,Gwynedd 015,6,"Separated, but still married",94
82555,W02000024,Gwynedd 015,7,"Separated, but still in a registered civil partnership",0
82556,W02000024,Gwynedd 015,8,Divorced,451
82557,W02000024,Gwynedd 015,9,Formerly in a civil partnership now legally dissolved,1
82558,W02000024,Gwynedd 015,10,Widowed,372
82559,W02000024,Gwynedd 015,11,Surviving partner from civil partnership,1
82560,W02000025,Gwynedd 016,-8,Does not apply,924
82561,W02000025,Gwynedd 016,1,Never married and never registered a civil partnership,1837
82562,W02000025,Gwynedd 016,2,Married: Opposite sex,2299
82563,W02000025,Gwynedd 016,3,Married: Same sex,13
82564,W02000025,Gwynedd 016,4,In a registered civil partnership: Opposite sex,4
82565,W02000025,Gwynedd 016,5,In a registered civil partnership: Same sex,5
82566,W02000025,Gwynedd 016,6,"Separated, but still married",91
82567,W02000025,Gwynedd 016,7,"Separated, but still in a registered civil partnership",0
82568,W02000025,Gwynedd 016,8,Divorced,546
82569,W02000025,Gwynedd 016,9,Formerly in a civil partnership now legally dissolved,0
82570,W02000025,Gwynedd 016,10,Widowed,406
82571,W02000025,Gwynedd 016,11,Surviving partner from civil partnership,0
82572,W02000026,Gwynedd 017,-8,Does not apply,839
82573,W02000026,Gwynedd 017,1,Never married and never registered a civil partnership,1732
82574,W02000026,Gwynedd 017,2,Married: Opposite sex,2925
82575,W02000026,Gwynedd 017,3,Married: Same sex,16
82576,W02000026,Gwynedd 017,4,In a registered civil partnership: Opposite sex,4
82577,W02000026,Gwynedd 017,5,In a registered civil partnership: Same sex,15
82578,W02000026,Gwynedd 017,6,"Separated, but still married",112
82579,W02000026,Gwynedd 017,7,"Separated, but still in a registered civil partnership",4
82580,W02000026,Gwynedd 017,8,Divorced,670
82581,W02000026,Gwynedd 017,9,Formerly in a civil partnership now legally dissolved,1
82582,W02000026,Gwynedd 017,10,Widowed,637
82583,W02000026,Gwynedd 017,11,Surviving partner from civil partnership,2
82584,W02000027,Conwy 001,-8,Does not apply,1040
